ID	GLOSS	FREQUENCY
1103	SACRIFICE	457
1590	WAIT (FOR)	456
1296	WALKING STICK	456
719	FIND	456
781	FEAR (FRIGHT)	455
1681	WAIST	454
681	DESTROY	454
935	WAR	454
682	SIDE	454
121	SPIN	453
672	EARLY	452
1928	CEASE	452
1071	HOOK	452
1767	SCRAPE	451
1860	BEAD	450
1358	ENEMY	450
1090	BE BORN	449
584	DIFFICULT	448
281	POST	448
1971	FAN (OBJECT)	447
2249	THIN (OF SHAPE OF OBJECT)	446
1890	BELIEVE	446
1463	DRUNK	446
3072	MISPLACE	445
686	EASY	445
1536	UNDERSTAND	445
2866	DROP (SOMETHING)	445
864	PUMPKIN	444
1909	SHAKE	444
1576	PILE UP	442
293	NETBAG	442
1272	AUNT	442
760	KNOT	442
274	KNEAD	441
357	HANG UP	441
883	TERMITE	441
1086	WORK (ACTIVITY)	440
1775	TABLE	440
657	PRICE	440
502	NAIL (TOOL)	438
1227	BOARD	437
155	CHOP	437
1344	RAM	436
1668	GRIEF	435
789	PEOPLE	435
345	SAP	434
1185	VULTURE	433
1901	SHOVEL	433
1676	ALWAYS	433
848	THIRST	432
748	SOW SEEDS	432
1783	PAIN	432
965	WORLD	432
620	INSECT	431
1171	MIRROR	431
737	LIGHT (IGNITE)	431
812	SLAVE	431
1575	COCKROACH	430
771	HAT	430
1253	RAIN (RAINING)	430
777	FLUTE	430
1644	RELATIVES	430
1745	HIP	429
1133	MATCH	429
157	DYE	429
1628	SQUIRREL	429
275	PEEL	428
1368	BREAD	428
1324	SLIP	427
3311	FLOWING BODY OF WATER	426
1812	TRY	426
1776	SHAME	424
791	STRANGER	424
1923	ROUGH	424
1276	AUTUMN	424
1826	ANGRY	423
2118	MOUNTAIN OR HILL	423
598	SHELL	423
863	EDGE	422
376	FRAGRANT	421
1124	PIPE	421
485	DISAPPEAR	420
568	RISE (MOVE UPWARDS)	420
1755	UNDRESS	418
522	WOLF	417
605	GRAIN	417
926	RICE	417
1534	FEVER	417
1157	BECAUSE	417
2017	MIX	415
1816	BESIDE	415
1109	WOUND	415
320	LAME	414
2475	MALE GOAT	414
806	BLANKET	413
1963	IMMEDIATELY	413
601	LIE (MISLEAD)	412
716	GROAN	412
1454	WIPE	411
378	PINCH	411
655	POISON	409
126	SWEAT (PERSPIRE)	409
1077	WHEAT	408
101	BOAST	408
1115	SPEECH	407
367	RIDE	407
1540	EYELASH	407
1434	STAB	407
765	MOVE	406
1811	SOUND OR NOISE	405
2312	YOU (OBLIQUE CASE OF YOU)	405
299	SCOLD	404
1948	SAW	403
1941	SOLDIER	401
956	FLEE	400
1962	ROAST (SOMETHING)	400
234	PADDLE	400
476	CUP	399
113	SHORE	399
477	LATE	398
1958	UNRIPE	398
772	BELT	398
2253	DRIP (EMIT LIQUID)	398
1591	UP	398
1627	CHAIN	398
1801	CHILD (DESCENDANT)	397
1187	GOOSE	397
1565	HEAVEN	397
595	GROUNDNUT (PEANUT)	396
711	TALL	396
1852	OFTEN	396
1471	WINTER	396
351	TARO	395
1048	LINE	395
970	COCONUT	394
1501	BORE	394
1043	BRAID	394
1743	JOIN	394
1342	SUMMER	394
580	FUR	392
1038	TEACHER	392
1541	CULTIVATE	391
49	REFUSE	391
1005	TWINS	391
102	COMMON COLD (DISEASE)	391
27	AIR	391
708	SHINE	388
1580	ONLY	388
2558	BREAK (CLEAVE)	387
377	LOUD	387
2002	DITCH	386
2018	GREEDY	386
1754	BRACELET	385
1596	LOCK	385
779	PART	384
2004	BEND	384
1047	PURSUE	383
1789	AGE	383
1399	CLAY	383
288	FORGE	382
673	SCHOOL	381
1530	BOWL	381
67	EMBERS	381
392	MAGIC	381
2378	THUNDER (VERB)	380
431	UPPER ARM	380
356	SHEARS	379
1470	FOLD	379
773	HAVE	379
2658	COAL	377
241	TREE STUMP	377
446	LOWER ARM	377
1279	FAT (OBESE)	376
2124	SMELL	376
690	BOTTOM	376
827	ROLL	376
2008	RESCUE	375
590	NAKED	375
1145	SWAMP	375
1506	MEASURE	374
1679	LOAD	373
3456	CRAWL OR CREEP	373
1181	PALM TREE	371
250	LIGHT (COLOR)	371
1618	GRANDSON	370
1345	EWE	370
