ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name,Family,Concept_Count,Form_Count,Contribution_ID,Family_Name
1078,Warumungu,Australia,-20.6479,134.375,waru1265,wrm,Warumungu,pama1250,315,315,bowernpny,Pama-Nyungan
1079,Guahibo,South America,5.81736,-68.9839,guah1255,guh,Sikuani,guah1252,483,483,hubercolumbian,Guahiboan
1080,Yurutí,South America,0.735585,-69.6955,yuru1263,yui,Yurutí,tuca1253,342,342,hubercolumbian,Tucanoan
1081,Yahuna,South America,-0.505365,-70.478211,yahu1241,ynu,Yahuna,tuca1253,385,385,kochtukanoan,Tucanoan
1082,Kwai,Papunesia,-8.74742,161.023,gula1270,gmb,Gula'alaa,aust1307,322,322,tryonsolomon,Austronesian
1083,Malo,Papunesia,-10.6771,165.835,natu1246,ntu,Natügu,aust1307,361,361,tryonsolomon,Austronesian
1084,Mbaniata,Papunesia,-8.58405,157.296,touo1238,tqu,Touo,touo1238,386,386,tryonsolomon,Touo
1085,Tawaroga,Papunesia,-10.6963,162.191,kahu1241,agw,Kahua,aust1307,333,333,tryonsolomon,Austronesian
1086,Adnyamathanha,Australia,-30.1451,138.671,adny1235,adt,Adnyamathanha,pama1250,315,315,bowernpny,Pama-Nyungan
1087,Wangkumara,Australia,-27.10149,143.19619,wong1246,xwk,Wangkumara,pama1250,314,314,bowernpny,Pama-Nyungan
1088,Yindjibarndi,Australia,-21.5379,117.001,yind1247,yij,Yindjibarndi,pama1250,315,315,bowernpny,Pama-Nyungan
1089,Carapana,South America,0.06168,-69.6465,cara1272,cbc,Carapana,tuca1253,342,342,hubercolumbian,Tucanoan
1090,Playero,South America,6.90948,-71.0036,play1240,gob,Playero,guah1252,364,364,hubercolumbian,Guahiboan
1091,Bongu,Papunesia,-5.50519,145.806,bong1291,bpu,Bongu,nucl1709,427,427,transnewguineaorg,Nuclear Trans New Guinea
1092,Fataleka,Papunesia,-8.59041,160.861,fata1245,far,Fataleka,aust1307,339,339,tryonsolomon,Austronesian
1093,Toro_Tegu,Africa,15.0052667,-2.085,toro1253,dtt,Toro Tegu Dogon,dogo1299,317,317,baf2,Dogon
1094,Yorno_So,Africa,14.5627,-3.2353,yorn1234,,Yorno So,dogo1299,317,317,baf2,Dogon
1095,Bora,South America,-2.91467,-68.9093,bora1263,boa,Bora,bora1262,685,685,hubercolumbian,Boran
1096,Epena Saija,South America,4.25877,-77.3566,epen1239,sja,Epena,choc1280,362,362,hubercolumbian,Chocoan
1097,Tatuyo,South America,0.55582,-70.5327,tatu1247,tav,Tatuyo,tuca1253,337,337,hubercolumbian,Tucanoan
1098,Tuyuca,South America,0.39441,-70.043515,tuyu1244,tue,Tuyuca,tuca1253,338,338,hubercolumbian,Tucanoan
1099,Muinane ,South America,-0.8652,-72.4249,muin1242,bmr,Muinane,bora1262,312,312,huntergatherer,Boran
1100,Matses,South America,-5.73914,-72.6281,mats1244,mcf,Matsés,pano1259,312,312,huntergatherer,Pano-Tacanan
1101,Kotiria,South America,1.07554,-69.5705,guan1269,gvc,Kotiria,tuca1253,314,314,huntergatherer,Tucanoan
1102,Murui Witoto,South America,-1.13669,-73.8331,muru1274,huu,Murui Huitoto,huit1251,312,312,huntergatherer,Huitotoan
1103,Mombo,Africa,14.4,-3.7,momb1254,dmb,Mombo Dogon,dogo1299,312,312,baf2,Dogon
1104,Desano,South America,0.58157,-69.4955,desa1247,des,Desano,tuca1253,366,366,hubercolumbian,Tucanoan
1105,Wambon,Papunesia,-5.44334,140.48,wamb1259,wms,Wambon,nucl1709,504,504,transnewguineaorg,Nuclear Trans New Guinea
1106,Lavukaleve,Papunesia,-9.05569,159.119,lavu1241,lvk,Lavukaleve,lavu1241,347,347,tryonsolomon,Lavukaleve
1107,Pileni,Papunesia,-10.173335,166.247188,pile1238,piv,Vaeakau-Taumako,aust1307,319,319,tryonsolomon,Austronesian
1108,Bankan_Tey,Africa,15.07,-2.91,bank1259,dbw,Bankan Tey Dogon,dogo1299,312,312,baf2,Dogon
1109,Perge_Tegu,Africa,14.85205,-3.305,perg1234,,Perge Tegu,dogo1299,312,312,baf2,Dogon
1110,Mudburra,Australia,-16.7694,132.329,mudb1240,dmw,Mudburra,pama1250,312,312,bowernpny,Pama-Nyungan
1111,Tibetan (Jirel),Eurasia,27.6931,86.3201,jire1238,jul,Jirel,sino1245,343,343,halenepal,Sino-Tibetan
1112,Cha'palaachi,South America,0.71489,-79.0508,chac1249,cbi,Cha'palaa,barb1265,316,316,hubercolumbian,Barbacoan
1113,Kamsá,South America,1.14537,-76.8931,cams1241,kbh,Camsá,cams1241,353,353,hubercolumbian,Camsá
1114,Resígaro,South America,-2.48139,-71.3578,resi1247,rgr,Resígaro,araw1281,323,323,hubercolumbian,Arawakan
1115,Waorani,South America,-1.12312,-76.683,waor1240,auc,Waorani,waor1240,311,311,huntergatherer,Waorani
1116,'Are'are (2),Papunesia,-9.20699,161.158,area1240,alu,'Are'are,aust1307,335,335,tryonsolomon,Austronesian
1117,Blablanga,Papunesia,-8.15058,159.419,blab1237,blp,Blablanga,aust1307,321,321,tryonsolomon,Austronesian
1118,Tommo_So,Africa,14.5608333,-3.39393333,tomm1242,dto,Tommo So Dogon,dogo1299,315,315,baf2,Dogon
1119,Yanda_Dom,Africa,14.6471833,-3.14816667,yand1257,dym,Yanda Dom Dogon,dogo1299,312,312,baf2,Dogon
1120,Kalkatungu,Australia,-21.0,139.5,kalk1246,ktg,Kalkatungu,pama1250,311,311,bowernpny,Pama-Nyungan
1121,Warnman,Australia,-22.7078,122.325,wanm1242,wbt,Wanman,pama1250,311,311,bowernpny,Pama-Nyungan
1122,Awa,South America,1.21652,-78.3401,awac1239,kwi,Awa-Cuaiquer,barb1265,353,353,hubercolumbian,Barbacoan
1123,Tsafiqui Pila,South America,-0.21181,-79.2347,colo1256,cof,Tsafiki,barb1265,334,334,hubercolumbian,Barbacoan
1124,Wai Wai,South America,1.50881,-59.1417,waiw1244,waw,Waiwai,cari1283,309,309,huntergatherer,Cariban
1125,Dâw,South America,-0.1177,-67.2934,daww1239,kwa,Dâw,nada1235,312,312,huntergatherer,Naduhup
1126,Upper Chehalis,North America,46.7981,-123.169,uppe1439,cjh,Upper Chehalis,sali1255,354,354,idssegmented,Salishan
1127,Kilokaka,Papunesia,-8.18719,159.255,zaza1245,jaj,Zazao,aust1307,341,341,tryonsolomon,Austronesian
1128,Dhuwal,Australia,-12.7825,136.008,dhuw1249,duj,Dhuwal,pama1250,309,309,bowernpny,Pama-Nyungan
1129,Bará,South America,0.30416,-70.1644,waim1255,bao,Waimaha,tuca1253,348,348,hubercolumbian,Tucanoan
1130,Páez,South America,2.61516,-76.3125,paez1247,pbb,Páez,paez1247,392,392,hubercolumbian,Páez
1131,Pemon,South America,4.97031,-61.4033,pemo1248,aoc,Pemon,cari1283,310,310,huntergatherer,Cariban
1132,Páez,South America,2.61516,-76.31254,paez1247,pbb,Páez,paez1247,308,308,huntergatherer,Páez
1133,Poro,Papunesia,-8.35163,159.789,gaoo1237,gga,Gao,aust1307,335,335,tryonsolomon,Austronesian
1134,Reefs,Papunesia,-10.6771,165.835,natu1246,ntu,Natügu,aust1307,342,342,tryonsolomon,Austronesian
1135,Monpa Sangti,Eurasia,27.402266,92.314934,tsha1245,tsj,Tshangla,sino1245,309,309,abrahammonpa,Sino-Tibetan
1136,Inga,South America,1.00313,-76.8606,inga1252,inb,Colombian Inga,quec1387,330,330,hubercolumbian,Quechuan
1137,Huambisa,South America,-3.99109,-77.9797,huam1247,hub,Huambisa,jiva1245,307,307,huntergatherer,Chicham
1138,Tukano,South America,0.579755,-69.5763,tuca1252,tuo,Tucano,tuca1253,308,308,huntergatherer,Tucanoan
1139,Movima,South America,-13.8115,-65.6348,movi1243,mzp,Movima,movi1243,307,307,huntergatherer,Movima
1140,Tataba,Papunesia,-8.27055,159.625,chek1238,mrn,Cheke Holo,aust1307,335,335,tryonsolomon,Austronesian
1141,Monpa Balemu,Eurasia,26.964717,92.164581,kala1376,kkf,Kalaktang Monpa,sino1245,313,313,abrahammonpa,Sino-Tibetan
1142,Monpa Namsu,Eurasia,27.359505,92.34921,kala1376,kkf,Kalaktang Monpa,sino1245,315,315,abrahammonpa,Sino-Tibetan
1143,Jamsay,Africa,15.00045,-2.95395,jams1239,djm,Jamsay Dogon,dogo1299,311,311,baf2,Dogon
1144,Secoya,South America,-0.459785,-75.5547,seco1241,sey,Secoya,tuca1253,342,342,hubercolumbian,Tucanoan
1145,Monpa Kalaktang,Eurasia,27.104162,92.113017,kala1376,kkf,Kalaktang Monpa,sino1245,328,328,abrahammonpa,Sino-Tibetan
1146,Monpa Dirang,Eurasia,27.34959,92.27914,tsha1245,tsj,Tshangla,sino1245,322,322,abrahammonpa,Sino-Tibetan
1147,Monpa Changprong,Eurasia,27.578928,91.876393,dakp1242,dka,Dakpakha,sino1245,319,319,abrahammonpa,Sino-Tibetan
1148,Mabuiag,Australia,-10.6748,142.196,kala1377,mwp,Kala Lagaw Ya,pama1250,307,307,bowernpny,Pama-Nyungan
1149,Yukuna ,South America,-0.76075,-71.0033,yucu1253,ycn,Yucuna,araw1281,307,307,huntergatherer,Arawakan
1150,Monpa Zimithang,Eurasia,27.335901,92.306528,dakp1242,dka,Dakpakha,sino1245,308,308,abrahammonpa,Sino-Tibetan
1151,Dí̵mi̵na,South America,10.9286,-73.4056,mala1522,mbp,Malayo,chib1249,334,334,hubercolumbian,Chibchan
1152,Ika,South America,10.7018,-73.6363,arhu1242,arh,Arhuaco,chib1249,335,335,hubercolumbian,Chibchan
1153,Baniwa,South America,2.17859,-67.7704,bani1255,bwi,Baniwa do Icana,araw1281,304,304,huntergatherer,Arawakan
1154,Piaroa,South America,4.41805,-67.7574,piar1243,pid,Piaroa,sali1297,304,304,huntergatherer,Saliban
1155,Djeoromitxi,South America,-12.038,-64.6694,djeo1235,jbt,Djeoromitxí,nucl1710,304,304,huntergatherer,Nuclear-Macro-Je
1156,Lokono,South America,5.64295,-56.9243,araw1276,arw,Lokono,araw1281,308,308,huntergatherer,Arawakan
1157,Written_Burmese,Eurasia,21.16,94.90,oldb1235,obr,Old Burmese,sino1245,304,304,mannburmish,Sino-Tibetan
1158,Monpa Tawang Monastery,Eurasia,27.586829,91.85796,dakp1242,dka,Dakpakha,sino1245,307,307,abrahammonpa,Sino-Tibetan
1159,Togo_Kan,Africa,13.933,-3.416,togo1254,,Togo Kan,dogo1299,307,307,baf2,Dogon
1160,Djambarrpuyngu,Australia,-12.021,135.59,djam1256,djr,Djambarrpuyngu,pama1250,304,304,bowernpny,Pama-Nyungan
1161,Jiwarli,Australia,-24.10724,116.98858,djiw1241,dze,Djiwarli,pama1250,304,304,bowernpny,Pama-Nyungan
1162,Piapoco,South America,4.37718,-68.5953,piap1246,pio,Piapoco,araw1281,403,403,hubercolumbian,Arawakan
1163,Kaingang,South America,-27.7671,-52.5394,kain1272,kgp,Kaingang,nucl1710,303,303,huntergatherer,Nuclear-Macro-Je
1164,Desano,South America,0.58157,-69.4955,desa1247,des,Desano,tuca1253,304,304,huntergatherer,Tucanoan
1165,Nheengatu,South America,1.04503,-66.9646,nhen1239,yrl,Nhengatu,tupi1275,305,305,huntergatherer,Tupian
1166,Sawila,Papunesia,-8.29105,125.078,sawi1256,swt,Sawila,timo1261,348,348,robinsonap,Timor-Alor-Pantar
1167,Monpa Tomko,Eurasia,27.16536,92.23077,kala1376,kkf,Kalaktang Monpa,sino1245,305,305,abrahammonpa,Sino-Tibetan
1168,Monpa Tembang,Eurasia,27.333876,92.40513,tsha1245,tsj,Tshangla,sino1245,311,311,abrahammonpa,Sino-Tibetan
1169,Namrei Nabolang,,27.546333,92.797975,miji1239,,Miji,sino1245,323,323,abrahammonpa,Sino-Tibetan
1170,Dammai Dibin,,27.437363,92.531354,miji1239,,Miji,sino1245,306,306,abrahammonpa,Sino-Tibetan
1171,Kartujarra,Australia,-23.27912,121.73213,kart1247,,Kartujarra,pama1250,303,303,bowernpny,Pama-Nyungan
1172,Ngarinyman,Australia,-15.4661,130.651,ngar1235,nbj,Ngarinman,pama1250,304,304,bowernpny,Pama-Nyungan
1173,Wakaya,Australia,-20.329,137.623,waga1260,wga,Wagaya,pama1250,303,303,bowernpny,Pama-Nyungan
1174,Tanimbili,Papunesia,-11.2975,166.507,tani1255,tbe,Tanimbili,aust1307,312,312,tryonsolomon,Austronesian
1175,Dammai Rurang,,27.368455,92.500637,miji1239,,Miji,sino1245,303,303,abrahammonpa,Sino-Tibetan
1176,Alyawarr,Australia,-21.0427,136.835,alya1239,aly,Alyawarr,pama1250,303,303,bowernpny,Pama-Nyungan
1177,Martu Wangka,Australia,-23.350911655789,123.66842240336,mart1256,mpj,Martu Wangka,pama1250,303,303,bowernpny,Pama-Nyungan
1178,Embera Chamí,South America,4.8791,-76.0749,embe1262,cmi,Emberá-Chamí,choc1280,363,363,hubercolumbian,Chocoan
1179,Wayuu,South America,11.395566,-72.199791,wayu1243,guc,Wayuu,araw1281,508,508,hubercolumbian,Arawakan
1180,Piapoco ,South America,4.37718,-68.5953,piap1246,pio,Piapoco,araw1281,301,301,huntergatherer,Arawakan
1181,Wapishana,South America,2.58744,-59.8021,wapi1253,wap,Wapishana,araw1281,302,302,huntergatherer,Arawakan
1182,Koreguaje,South America,0.92316,-75.3475,kore1283,coe,Koreguaje,tuca1253,301,301,huntergatherer,Tucanoan
1183,Sirionó,South America,-15.5298,-63.9688,siri1273,srq,Sirionó,tupi1275,301,301,huntergatherer,Tupian
1184,Hruso Aka Jamiri,Eurasia,27.184929,92.599114,hrus1242,hru,Hruso,hrus1242,307,307,abrahammonpa,Sino-Tibetan
1185,Fulfulde,Africa,14.49205,-3.61506667,maas1239,ffm,Maasina Fulfulde,atla1278,304,304,baf2,Atlantic
1186,Tiranige_Diga,Africa,14.85,-3.73333333,tira1258,tde,Tiranige Diga Dogon,dogo1299,301,301,baf2,Dogon
1187,Jitnu,South America,6.34582,-71.2671,maca1259,mbn,Hitnu,guah1252,327,327,hubercolumbian,Guahiboan
1188,Nukak,South America,2.65939,-71.4629,nuka1242,mbr,Nukak Makú,kaku1242,301,301,hubercolumbian,Kakua-Nukak
1189,Miji Nafra,,27.373776,92.546071,miji1239,,Miji,sino1245,301,301,abrahammonpa,Sino-Tibetan
